customer_id,customer_name,signup_date,region,segment,industry,account_owner,contract_tier,employee_count,country,active_flag,order_count,total_net_revenue,average_order_value,last_order_date,ticket_count,avg_resolution_hours,avg_satisfaction_score,value_tier,risk_flag
C-0001,Customer 1 Analytics,2024-01-12 00:00:00,South,Mid-Market,Healthcare,Vikram Menon,Silver,97,USA,Y,1.0,1566.7171999999998,1566.7171999999998,2026-01-01,6.0,168.0,3.3333333333333335,High,False
C-0002,Customer 2 Analytics,2024-01-23 00:00:00,East,SMB,Finance,Priya Shah,Gold,144,UK,Y,1.0,7672.654399999999,7672.654399999999,2026-03-11,0.0,0.0,0.0,High,True
C-0003,Customer 3 Analytics,2024-02-03 00:00:00,West,Strategic,Manufacturing,Rahul Iyer,Platinum,191,UAE,N,1.0,3749.0969999999993,3749.0969999999993,2026-01-19,0.0,0.0,0.0,High,True
C-0004,Customer 4 Analytics,2024-02-14 00:00:00,Central,Public Sector,Telecom,Neha Gupta,Bronze,238,Singapore,Y,1.0,2164.5526,2164.5526,2026-03-29,0.0,0.0,0.0,High,True
C-0005,Customer 5 Analytics,2024-02-25 00:00:00,North,Enterprise,Logistics,Daniel Thomas,Silver,285,India,Y,2.0,9613.8888,4806.9444,2026-02-06,0.0,0.0,0.0,High,True
C-0006,Customer 6 Analytics,2024-03-07 00:00:00,South,Mid-Market,Energy,Maya Nair,Gold,332,USA,Y,2.0,10961.5986,5480.7993,2026-04-16,7.0,84.0,2.5714285714285716,High,True
C-0007,Customer 7 Analytics,2024-03-18 00:00:00,East,SMB,Technology,Karan Mehta,Platinum,379,UK,N,2.0,7664.4218,3832.2109,2026-02-24,0.0,0.0,0.0,High,True
C-0008,Customer 8 Analytics,2024-03-29 00:00:00,West,Strategic,Retail,Asha Rao,Bronze,426,UAE,Y,2.0,2036.6371,1018.31855,2026-01-04,0.0,0.0,0.0,High,True
C-0009,Customer 9 Analytics,2024-04-09 00:00:00,Central,Public Sector,Healthcare,Vikram Menon,Silver,473,Singapore,Y,1.0,7387.338000000001,7387.338000000001,2026-03-14,0.0,0.0,0.0,High,True
C-0010,Customer 10 Analytics,2024-04-20 00:00:00,North,Enterprise,Finance,Priya Shah,Gold,520,India,Y,1.0,5678.3218,5678.3218,2026-01-22,0.0,0.0,0.0,High,True
C-0011,Customer 11 Analytics,2024-05-01 00:00:00,South,Mid-Market,Manufacturing,Rahul Iyer,Platinum,567,USA,N,1.0,2155.9382,2155.9382,2026-04-01,7.0,120.0,2.857142857142857,High,True
C-0012,Customer 12 Analytics,2024-05-12 00:00:00,East,SMB,Telecom,Neha Gupta,Bronze,614,UK,Y,2.0,9954.1206,4977.0603,2026-02-09,0.0,0.0,0.0,High,True
C-0013,Customer 13 Analytics,2024-05-23 00:00:00,West,Strategic,Logistics,Daniel Thomas,Silver,661,UAE,Y,2.0,12827.9972,6413.9986,2026-04-19,0.0,0.0,0.0,High,True
C-0014,Customer 14 Analytics,2024-06-03 00:00:00,Central,Public Sector,Energy,Maya Nair,Gold,708,Singapore,Y,2.0,7522.9417,3761.47085,2026-02-27,0.0,0.0,0.0,High,True
C-0015,Customer 15 Analytics,2024-06-14 00:00:00,North,Enterprise,Technology,Karan Mehta,Platinum,755,India,N,2.0,2171.859,1085.9295,2026-01-07,0.0,0.0,0.0,High,True
C-0016,Customer 16 Analytics,2024-06-25 00:00:00,South,Mid-Market,Retail,Asha Rao,Bronze,802,USA,Y,1.0,7084.672600000001,7084.672600000001,2026-03-17,7.0,129.60000000000002,3.142857142857143,High,False
C-0017,Customer 17 Analytics,2024-07-06 00:00:00,East,SMB,Healthcare,Vikram Menon,Silver,849,UK,Y,0.0,0.0,0.0,,0.0,0.0,0.0,Low,True
C-0018,Customer 18 Analytics,2024-07-17 00:00:00,West,Strategic,Finance,Priya Shah,Gold,896,UAE,Y,1.0,2129.9748,2129.9748,2026-04-04,0.0,0.0,0.0,High,True
C-0019,Customer 19 Analytics,2024-07-28 00:00:00,Central,Public Sector,Manufacturing,Rahul Iyer,Platinum,943,Singapore,N,2.0,9695.7018,4847.8509,2026-02-12,0.0,0.0,0.0,High,True
C-0020,Customer 20 Analytics,2024-08-08 00:00:00,North,Enterprise,Telecom,Neha Gupta,Bronze,990,India,Y,2.0,12375.1171,6187.55855,2026-04-22,0.0,0.0,0.0,High,True
C-0021,Customer 21 Analytics,2024-08-19 00:00:00,South,Mid-Market,Logistics,Daniel Thomas,Silver,1037,USA,Y,2.0,7346.763599999999,3673.3817999999997,2026-03-02,7.0,168.0,3.4285714285714284,High,False
C-0022,Customer 22 Analytics,2024-08-30 00:00:00,East,SMB,Energy,Maya Nair,Gold,1084,UK,Y,2.0,3201.8813,1600.94065,2026-01-10,0.0,0.0,0.0,High,True
C-0023,Customer 23 Analytics,2024-09-10 00:00:00,West,Strategic,Technology,Karan Mehta,Platinum,1131,UAE,N,1.0,6764.6582,6764.6582,2026-03-20,0.0,0.0,0.0,High,True
C-0024,Customer 24 Analytics,2024-09-21 00:00:00,Central,Public Sector,Retail,Asha Rao,Bronze,1178,Singapore,Y,1.0,5394.8004,5394.8004,2026-01-28,0.0,0.0,0.0,High,True
C-0025,Customer 25 Analytics,2024-10-02 00:00:00,North,Enterprise,Healthcare,Vikram Menon,Silver,1225,India,Y,1.0,3256.0,3256.0,2026-04-07,0.0,0.0,0.0,High,True
C-0026,Customer 26 Analytics,2024-10-13 00:00:00,South,Mid-Market,Finance,Priya Shah,Gold,1272,USA,Y,2.0,2091.4217,1045.71085,2026-02-15,6.0,129.60000000000002,2.8333333333333335,High,True
C-0027,Customer 27 Analytics,2024-10-24 00:00:00,East,SMB,Manufacturing,Rahul Iyer,Platinum,1319,UK,N,2.0,11887.539,5943.7695,2026-04-25,0.0,0.0,0.0,High,True
C-0028,Customer 28 Analytics,bad-date,West,Strategic,Telecom,Neha Gupta,Bronze,1366,UAE,Y,2.0,7135.887499999999,3567.9437499999995,2026-03-05,0.0,0.0,0.0,High,True
C-0029,Customer 29 Analytics,2024-11-15 00:00:00,Central,Public Sector,Logistics,Daniel Thomas,Silver,1413,Singapore,Y,2.0,3330.1636,1665.0818,2026-01-13,0.0,0.0,0.0,High,True
C-0030,Customer 30 Analytics,2024-11-26 00:00:00,North,Enterprise,Energy,Maya Nair,Gold,1460,India,Y,1.0,6427.2948,6427.2948,2026-03-23,0.0,0.0,0.0,High,True
C-0031,Customer 31 Analytics,2024-12-07 00:00:00,South,Mid-Market,Technology,Karan Mehta,Platinum,1507,USA,N,1.0,5223.400000000001,5223.400000000001,2026-01-31,7.0,120.0,2.5714285714285716,High,True
C-0032,Customer 32 Analytics,2024-12-18 00:00:00,East,SMB,Retail,Asha Rao,Bronze,1554,UK,Y,1.0,3258.0154999999995,3258.0154999999995,2026-04-10,0.0,0.0,0.0,High,True
C-0033,Customer 33 Analytics,2024-12-29 00:00:00,West,Strategic,Healthcare,Vikram Menon,Silver,1601,UAE,Y,2.0,2242.4435999999996,1121.2217999999998,2026-02-18,0.0,0.0,0.0,High,True
C-0034,Customer 34 Analytics,2025-01-09 00:00:00,Central,Public Sector,Finance,Priya Shah,Gold,1648,Singapore,Y,2.0,14536.8413,7268.42065,2026-04-28,0.0,0.0,0.0,High,True
C-0035,Customer 35 Analytics,2025-01-20 00:00:00,North,Enterprise,Manufacturing,Rahul Iyer,Platinum,1695,India,N,1.0,4343.3782,4343.3782,2026-03-08,0.0,0.0,0.0,High,True
C-0036,Customer 36 Analytics,2025-01-31 00:00:00,South,Mid-Market,Telecom,Neha Gupta,Bronze,1742,USA,Y,2.0,3423.7479000000003,1711.8739500000001,2026-01-16,7.0,132.0,2.857142857142857,High,True
C-0037,Customer 37 Analytics,2025-02-11 00:00:00,East,SMB,Logistics,Daniel Thomas,Silver,1789,UK,Y,1.0,9484.0,9484.0,2026-03-26,0.0,0.0,0.0,High,True
C-0038,Customer 38 Analytics,2025-02-22 00:00:00,West,Strategic,Energy,Maya Nair,Gold,1836,UAE,Y,1.0,5038.4873,5038.4873,2026-02-03,0.0,0.0,0.0,High,True
C-0039,Customer 39 Analytics,2025-03-05 00:00:00,Central,Public Sector,Technology,Karan Mehta,Platinum,1883,Singapore,N,1.0,3242.6820000000002,3242.6820000000002,2026-04-13,0.0,0.0,0.0,High,True
C-0040,Customer 40 Analytics,2025-03-16 00:00:00,North,Enterprise,Retail,Asha Rao,Bronze,1930,India,Y,2.0,2577.3826,1288.6913,2026-02-21,0.0,0.0,0.0,High,True
C-0041,Customer 41 Analytics,2025-03-27 00:00:00,South,Mid-Market,Healthcare,Vikram Menon,Silver,1977,USA,Y,2.0,14042.3236,7021.1618,2026-01-01,7.0,168.0,3.142857142857143,High,False
C-0042,Customer 42 Analytics,2025-04-07 00:00:00,East,SMB,Finance,Priya Shah,Gold,2024,UK,Y,2.0,8151.363299999999,4075.6816499999995,2026-03-11,0.0,0.0,0.0,High,True
C-0043,Customer 43 Analytics,2025-04-18 00:00:00,West,Strategic,Manufacturing,Rahul Iyer,Platinum,2071,UAE,N,1.0,938.658,938.658,2026-01-19,0.0,0.0,0.0,Medium,True
C-0044,Customer 44 Analytics,2025-04-29 00:00:00,Central,Public Sector,Telecom,Neha Gupta,Bronze,2118,Singapore,Y,1.0,9174.6155,9174.6155,2026-03-29,0.0,0.0,0.0,High,True
C-0045,Customer 45 Analytics,2025-05-10 00:00:00,North,Enterprise,Logistics,Daniel Thomas,Silver,2165,India,Y,1.0,4836.2256,4836.2256,2026-02-06,0.0,0.0,0.0,High,True
C-0046,Customer 46 Analytics,2025-05-21 00:00:00,South,Mid-Market,Energy,Maya Nair,Gold,2212,USA,Y,1.0,3209.9995,3209.9995,2026-04-16,7.0,204.0,3.4285714285714284,High,False
C-0047,Customer 47 Analytics,2025-06-01 00:00:00,East,SMB,Technology,Karan Mehta,Platinum,2259,UK,N,2.0,2741.339,1370.6695,2026-02-24,0.0,0.0,0.0,High,True
